Cosmog|200|true
Meltan|300|true
Kubfu|385|true
Cosmoem|400|true
Phione|480|true
Zygarde 10% Forme|486|true
Calyrex|500|true
Urshifu Single Strike Style|550|true
Gigantamax Urshifu Single Strike Style|550|true
Urshifu Rapid Strike Style|550|true
Gigantamax Urshifu Rapid Strike Style|550|true
Tapu Koko|570|true
Tapu Lele|570|true
Tapu Bulu|570|true
Tapu Fini|570|true
Articuno|580|true
Galarian Articuno|580|true
Zapdos|580|true
Galarian Zapdos|580|true
Moltres|580|true
Galarian Moltres|580|true
Raikou|580|true
Entei|580|true
Suicune|580|true
Regirock|580|true
Regice|580|true
Registeel|580|true
Uxie|580|true
Mesprit|580|true
Azelf|580|true
Cobalion|580|true
Terrakion|580|true
Virizion|580|true
Tornadus Incarnate Forme|580|true
Tornadus Therian Forme|580|true
Thundurus Incarnate Forme|580|true
Thundurus Therian Forme|580|true
Keldeo Ordinary Forme|580|true
Keldeo Resolute Forme|580|true
Regieleki|580|true
Regidrago|580|true
Glastrier|580|true
Spectrier|580|true
Mew|600|true
Celebi|600|true
Latias|600|true
Latios|600|true
Jirachi|600|true
Deoxys Normal Forme|600|true
Deoxys Attack Forme|600|true
Deoxys Defense Forme|600|true
Deoxys Speed Forme|600|true
Heatran|600|true
Cresselia|600|true
Manaphy|600|true
Darkrai|600|true
Shaymin Land Forme|600|true
Shaymin Sky Forme|600|true
Victini|600|true
Landorus Incarnate Forme|600|true
Landorus Therian Forme|600|true
Meloetta Aria Forme|600|true
Meloetta Pirouette Forme|600|true
Genesect|600|true
Zygarde 50% Forme|600|true
Diancie|600|true
Hoopa Confined|600|true
Volcanion|600|true
Necrozma|600|true
Magearna|600|true
Marshadow|600|true
Zeraora|600|true
Melmetal|600|true
Gigantamax Melmetal|600|true
Zarude|600|true
Dada Zarude|600|true
Kyurem|660|true
Kyogre|670|true
Groudon|670|true
Regigigas|670|true
Zacian Hero of Many Battles|670|true
Zamazenta Hero of Many Battles|670|true
Mewtwo|680|true
Lugia|680|true
Ho-oh|680|true
Rayquaza|680|true
Dialga|680|true
Palkia|680|true
Giratina Altered Forme|680|true
Giratina Origin Forme|680|true
Reshiram|680|true
Zekrom|680|true
Xerneas|680|true
Yveltal|680|true
Hoopa Unbound|680|true
Solgaleo|680|true
Lunala|680|true
Dusk Mane Necrozma|680|true
Dawn Wings Necrozma|680|true
Ice Rider Calyrex|680|true
Shadow Rider Calyrex|680|true
Eternatus|690|true
Mega Latias|700|true
Mega Latios|700|true
Black Kyurem|700|true
White Kyurem|700|true
Mega Diancie|700|true
Zygarde Complete Forme|708|true
Arceus|720|true
Zacian Crowned Sword Forme|720|true
Zamazenta Crowned Sheild Forme|720|true
Ultra Necrozma|754|true
Primal Kyogre|770|true
Primal Groudon|770|true
Mega Mewtwo X|780|true
Mega Mewtwo Y|780|true
Mega Rayquaza|780|true
Eternamax Eternatus|1125|true
